User_ID,Recommended_Categories
1000110,"[6, 1, 5]"
1000111,"[5, 1, 8]"
1000112,"[3, 10, 6]"
1000113,"[1, 8, 5]"
1000114,"[3, 2, 8]"
1000116,"[1, 5, 8]"
1000117,"[1, 2, 3]"
1000118,"[1, 5, 2]"
1000119,"[3, 5, 2]"
1000120,"[1, 6, 8]"
1000121,"[1, 15, 5]"
1000122,"[1, 5, 3]"
1000123,"[1, 8, 5]"
1000124,"[8, 16, 5]"
1000125,"[1, 16, 8]"
1000126,"[1, 8, 5]"
1000127,"[1, 8, 6]"
1000128,"[1, 3, 8]"
1000129,"[1, 6, 5]"
1000130,"[1, 8, 5]"
1000131,"[8, 5, 1]"
1000132,"[5, 1, 3]"
1000133,"[8, 5, 1]"
1000134,"[1, 5, 3]"
1000135,"[1, 5, 2]"
1000136,"[5, 8, 1]"
1000137,"[1, 8, 5]"
1000138,"[6, 1, 8]"
1000139,"[1, 5, 3]"
1000140,"[1, 5, 8]"
1000141,"[1, 8, 10]"
1000142,"[1, 3, 5]"
1000143,"[1, 5, 8]"
1000144,"[1, 8, 6]"
1000145,"[8, 5, 1]"
1000146,"[1, 8, 5]"
1000147,"[1, 8, 2]"
1000148,"[1, 8, 5]"
1000149,"[1, 8, 5]"
1000150,"[8, 5, 1]"
1000151,"[1, 5, 8]"
1000152,"[5, 3, 11]"
1000153,"[5, 6, 16]"
1000154,"[1, 5, 8]"
1000155,"[5, 1, 8]"
1000156,"[5, 8, 1]"
1000157,"[1, 5, 8]"
1000158,"[10, 1, 2]"
1000159,"[1, 5, 3]"
1000160,"[1, 8, 6]"
1000161,"[8, 5, 1]"
1000162,"[1, 5, 3]"
1000163,"[1, 5, 8]"
1000164,"[8, 5, 1]"
1000165,"[1, 5, 6]"
1000166,"[1, 8, 5]"
1000167,"[1, 8, 5]"
1000168,"[1, 5, 8]"
1000169,"[1, 5, 8]"
1000170,"[1, 8, 15]"
1000171,"[7, 6, 2]"
1000172,"[10, 7, 6]"
1000173,"[8, 1, 5]"
1000174,"[1, 15, 8]"
1000175,"[8, 5, 1]"
1000176,"[5, 1, 2]"
1000177,"[1, 8, 2]"
1000178,"[1, 3, 5]"
1000179,"[1, 8, 5]"
1000180,"[8, 6, 5]"
1000181,"[1, 5, 6]"
1000182,"[5, 1, 6]"
1000183,"[5, 8, 10]"
1000184,"[3, 1, 6]"
1000185,"[1, 8, 5]"
1000186,"[1, 3, 5]"
1000187,"[8, 5, 6]"
1000188,"[1, 8, 5]"
1000189,"[1, 8, 16]"
1000190,"[1, 5, 8]"
1000191,"[5, 1, 8]"
1000192,"[1, 8, 5]"
1000193,"[5, 8, 1]"
1000194,"[5, 1, 8]"
1000195,"[1, 8, 5]"
1000196,"[6, 5, 8]"
1000197,"[8, 1, 5]"
1000198,"[1, 5, 2]"
1000199,"[1, 8, 5]"
1000200,"[1, 5, 3]"
1000201,"[5, 8, 1]"
1000202,"[1, 5, 8]"
1000203,"[8, 6, 1]"
1000204,"[1, 8, 5]"
1000205,"[1, 5, 6]"
1000206,"[1, 8, 11]"
1000207,"[1, 5, 15]"
1000208,"[1, 8, 5]"
1000209,"[5, 1, 8]"
1000210,"[1, 19]"
1000211,"[1, 16, 8]"
1000212,"[1, 5, 6]"
1000213,"[1, 8, 3]"
1000214,"[5, 1, 10]"
1000215,"[1, 9, 16]"
1000216,"[5, 1, 8]"
1000217,"[1, 6, 5]"
1000218,"[5, 1, 8]"
1000219,"[5, 1, 8]"
1000220,"[1, 5, 8]"
1000221,"[6, 8, 1]"
1000222,"[1, 5, 8]"
1000223,"[1, 5, 8]"
1000225,"[8, 1, 6]"
1000226,"[1, 8, 5]"
1000227,"[16, 1, 8]"
1000228,"[1, 8, 5]"
1000229,"[8, 1, 5]"
1000230,"[1, 8, 5]"
1000231,"[1, 5, 8]"
1000232,"[5, 1, 3]"
1000233,"[1, 8, 3]"
1000234,"[8, 1, 10]"
1000235,"[8, 5, 1]"
1000236,"[1, 8, 10]"
1000237,"[5, 1, 8]"
1000238,"[8, 6, 1]"
1000239,"[1, 8, 5]"
1000240,"[1, 5, 6]"
1000241,"[1, 5, 10]"
1000242,"[1, 5, 8]"
1000243,"[5, 1, 2]"
1000244,"[1, 5, 8]"
1000245,"[1, 5, 8]"
1000246,"[5, 3, 1]"
1000247,"[8, 1, 6]"
1000248,"[1, 16, 15]"
1000249,"[1, 5, 6]"
1000250,"[1, 5, 16]"
1000251,"[1, 5, 8]"
1000252,"[1, 5, 19]"
1000253,"[8, 1, 5]"
1000254,"[1, 11, 2]"
1000255,"[1, 8, 5]"
1000256,"[1, 10, 6]"
1000257,"[1, 6, 8]"
1000258,"[1, 8, 5]"
1000259,"[1, 8, 5]"
1000260,"[1, 2, 5]"
1000261,"[1, 8, 5]"
1000262,"[1, 2, 5]"
1000263,"[1, 5, 2]"
1000264,"[1, 5, 8]"
1000265,"[5, 8, 3]"
1000266,"[1, 8, 5]"
1000267,"[8, 5, 1]"
1000268,"[1, 5, 8]"
1000269,"[8, 5, 6]"
1000270,"[1, 8, 6]"
1000271,"[1, 5, 3]"
1000272,"[1, 5, 8]"
1000273,"[1, 5, 8]"
1000274,"[1, 8, 5]"
1000275,"[1, 8, 5]"
1000276,"[1, 5, 8]"
1000277,"[1, 8, 16]"
1000278,"[11, 1, 5]"
1000279,"[1, 8, 5]"
1000280,"[5, 1, 4]"
1000281,"[8, 1, 5]"
1000282,"[1, 16, 6]"
1000283,"[1, 8, 5]"
1000284,"[1, 5, 2]"
1000285,"[7, 8, 6]"
1000286,"[1, 6, 8]"
1000287,"[8, 1, 5]"
1000289,"[1, 6, 16]"
1000290,"[6, 8, 1]"
1000291,"[8, 1, 5]"
1000292,"[1, 8, 5]"
1000293,"[8, 5, 1]"
1000294,"[5, 7, 1]"
1000295,"[1, 8, 5]"
1000296,"[1, 11, 5]"
1000297,"[1, 5, 6]"
1000298,"[1, 8, 5]"
1000299,"[1, 8, 5]"
1000300,"[1, 8, 5]"
1000301,"[1, 5, 8]"
1000302,"[1, 5, 8]"
1000303,"[5, 8, 1]"
1000304,"[10, 6, 2]"
1000305,"[11, 1, 3]"
1000306,"[1, 5, 8]"
1000307,"[8, 5, 1]"
1000308,"[1, 5, 8]"
1000309,"[1, 8, 6]"
1000310,"[5, 1, 8]"
1000311,"[1, 8, 6]"
1000312,"[8, 6, 2]"
1000313,"[1, 8, 5]"
1000314,"[8, 1, 5]"
1000315,"[1, 5, 3]"
1000316,"[1, 15, 2]"
1000317,"[1, 5, 10]"
1000318,"[8, 1, 2]"
1000319,"[8, 5, 1]"
1000320,"[1, 3, 8]"
1000321,"[1, 8, 6]"
1000322,"[1, 5, 8]"
1000323,"[1, 5, 8]"
1000324,"[1, 16, 3]"
1000325,"[5, 1, 8]"
1000326,"[1, 5, 8]"
1000327,"[8, 6, 5]"
1000328,"[1, 3, 8]"
1000329,"[1, 5, 8]"
1000330,"[1, 8, 16]"
1000331,"[8, 1, 5]"
1000332,"[8, 1, 5]"
1000333,"[5, 8, 3]"
1000334,"[8, 1, 5]"
1000335,"[1, 2, 6]"
1000336,"[1, 2, 5]"
1000337,"[1, 5, 2]"
1000338,"[1, 5, 8]"
1000339,"[8, 1, 5]"
1000340,"[1, 5, 3]"
1000341,"[1, 5, 8]"
1000342,"[1, 5, 6]"
1000343,"[1, 5, 2]"
1000344,"[1, 5, 16]"
1000345,"[8, 1, 6]"
1000346,"[5, 8, 1]"
1000347,"[8, 5, 6]"
1000348,"[1, 8, 2]"
1000349,"[1, 5, 8]"
1000350,"[1, 5, 6]"
1000351,"[1, 3, 5]"
1000352,"[1, 8, 5]"
1000353,"[6, 1, 16]"
1000354,"[1, 8, 16]"
1000355,"[1, 5, 8]"
1000356,"[2, 1, 11]"
1000357,"[8, 2, 6]"
1000359,"[1, 2, 5]"
1000360,"[1, 2, 8]"
1000361,"[1, 8, 5]"
1000362,"[1, 5, 11]"
1000363,"[1, 8, 6]"
1000364,"[5, 8, 6]"
1000365,"[5, 8, 16]"
1000366,"[1, 8, 2]"
1000368,"[1, 8, 5]"
1000369,"[5, 1, 3]"
1000370,"[1, 5, 16]"
1000371,"[5, 1, 6]"
1000372,"[1, 5, 2]"
1000373,"[1, 2, 8]"
1000374,"[1, 6, 8]"
1000375,"[8, 6, 1]"
1000376,"[8, 5, 1]"
1000377,"[1, 5, 6]"
1000378,"[3, 5, 8]"
1000379,"[8, 1, 5]"
1000380,"[5, 1, 8]"
1000381,"[1, 15, 8]"
1000382,"[8, 5, 1]"
1000383,"[8, 1, 5]"
1000384,"[1, 5, 2]"
1000385,"[1, 8, 5]"
1000386,"[5, 1, 8]"
1000387,"[5, 1, 8]"
1000388,"[8, 5, 1]"
1000389,"[1, 8, 16]"
1000390,"[11, 5, 1]"
1000391,"[1, 10, 6]"
1000392,"[1, 5, 8]"
1000393,"[8, 5, 6]"
1000394,"[1, 6, 16]"
1000395,"[5, 10, 11]"
1000396,"[5, 8, 1]"
1000397,"[1, 5, 8]"
1000398,"[1, 5, 8]"
1000399,"[16, 3, 5]"
1000400,"[1, 8, 6]"
1000401,"[1, 5, 8]"
1000402,"[5, 1, 6]"
1000403,"[1, 5, 8]"
1000404,"[8, 1, 5]"
1000405,"[5, 8, 1]"
1000406,"[1, 8, 6]"
1000407,"[6, 5, 2]"
1000408,"[1, 5, 8]"
1000409,"[1, 8, 5]"
1000410,"[5, 1, 3]"
1000411,"[5, 8, 1]"
1000412,"[1, 5, 8]"
1000413,"[8, 3, 1]"
1000414,"[1, 8, 10]"
1000415,"[5, 1, 8]"
1000416,"[5, 6, 1]"
1000417,"[3, 1, 2]"
1000418,"[1, 8, 16]"
1000419,"[1, 8, 5]"
1000420,"[1, 5, 3]"
1000421,"[1, 16, 2]"
1000422,"[1, 15, 10]"
1000423,"[1, 5, 8]"
1000424,"[1, 8, 5]"
1000425,"[1, 5, 8]"
1000426,"[1, 8, 5]"
1000427,"[1, 5, 2]"
1000429,"[1, 8, 5]"
1000430,"[5, 1, 8]"
1000431,"[1, 8, 2]"
1000432,"[5, 1, 8]"
1000433,"[5, 3, 1]"
1000434,"[5, 1, 7]"
1000435,"[1, 16, 8]"
1000436,"[1, 2, 8]"
1000437,"[1, 3, 8]"
1000438,"[1, 5, 3]"
1000439,"[1, 8, 5]"
1000440,"[1, 5, 19]"
1000441,"[1, 8, 2]"
1000442,"[5, 1, 8]"
1000443,"[1, 6, 8]"
1000444,"[8, 5, 1]"
1000445,"[1, 8, 2]"
1000446,"[8, 5, 16]"
1000447,"[8, 3, 2]"
1000448,"[16, 1, 5]"
1000449,"[1, 2, 11]"
1000450,"[5, 1, 8]"
1000451,"[8, 5, 1]"
1000452,"[1, 8, 5]"
1000453,"[1, 5, 8]"
1000454,"[5, 8, 1]"
1000455,"[1, 5, 8]"
1000456,"[1, 3, 8]"
1000457,"[1, 8, 5]"
1000458,"[1, 2, 11]"
1000459,"[5, 1, 16]"
1000460,"[5, 20]"
1000461,"[1, 5, 8]"
1000462,"[1, 5, 8]"
1000463,"[5, 1, 2]"
1000464,"[8, 5, 1]"
1000465,"[5, 6, 2]"
1000466,"[5, 8, 1]"
1000467,"[8, 5, 1]"
1000468,"[1, 8, 5]"
1000469,"[1, 8, 5]"
1000470,"[3, 5, 2]"
1000471,"[1, 8, 10]"
1000473,"[5, 8, 1]"
1000474,"[1, 5, 8]"
1000476,"[1, 5, 2]"
1000477,"[1, 8, 5]"
1000478,"[5, 8, 6]"
1000479,"[1, 2, 8]"
1000480,"[8, 1, 5]"
1000481,"[1, 5, 8]"
1000482,"[1, 8, 5]"
1000483,"[8, 5, 16]"
1000484,"[1, 5, 16]"
1000485,"[5, 8, 1]"
1000486,"[8, 1, 5]"
1000487,"[8, 5, 1]"
1000488,"[1, 2, 15]"
1000489,"[1, 15, 8]"
1000490,"[1, 3, 2]"
1000491,"[1, 2, 3]"
1000492,"[8, 5, 11]"
1000493,"[8, 1, 6]"
1000495,"[1, 3, 8]"
1000496,"[1, 5, 8]"
1000497,"[1, 5, 2]"
1000498,"[5, 8, 6]"
1000499,"[8, 5, 1]"
1000500,"[3, 5, 8]"
1000501,"[1, 5, 2]"
1000502,"[8, 1, 5]"
1000503,"[1, 6, 8]"
1000504,"[1, 5, 10]"
1000505,"[1, 5, 2]"
1000506,"[1, 5, 16]"
1000507,"[8, 5, 6]"
1000508,"[1, 15, 2]"
1000509,"[1, 8, 5]"
1000510,"[1, 3, 5]"
1000511,"[8, 5, 10]"
1000512,"[1, 5, 8]"
1000513,"[1, 5, 8]"
1000514,"[1, 5, 6]"
1000515,"[8, 5, 6]"
1000516,"[1, 5, 8]"
1000517,"[5, 8, 1]"
1000518,"[8, 1, 5]"
1000519,"[3, 5, 1]"
1000520,"[5, 8, 1]"
1000521,"[8, 1, 6]"
1000522,"[1, 10, 5]"
1000523,"[1, 5, 10]"
1000524,"[1, 8, 5]"
1000525,"[1, 5, 3]"
1000526,"[1, 6, 5]"
1000527,"[5, 8, 20]"
1000529,"[1, 6, 8]"
1000530,"[1, 8, 6]"
1000531,"[1, 5, 8]"
1000532,"[1, 15, 16]"
1000533,"[1, 5, 8]"
1000534,"[1, 5, 8]"
1000535,"[2, 6, 1]"
1000536,"[1, 3, 8]"
1000538,"[1, 2, 5]"
1000539,"[1, 3, 2]"
1000540,"[8, 1, 5]"
1000541,"[3, 1, 5]"
1000543,"[1, 5, 8]"
1000544,"[1, 2, 3]"
1000545,"[5, 3, 1]"
1000546,"[5, 1, 8]"
1000547,"[1, 8, 2]"
1000548,"[1, 7, 11]"
1000549,"[1, 5, 8]"
1000550,"[1, 5, 8]"
1000551,"[8, 5, 1]"
1000552,"[1, 8, 5]"
1000553,"[5, 2, 4]"
1000554,"[8, 5, 16]"
1000555,"[3, 5, 8]"
1000556,"[1, 5, 3]"
1000557,"[1, 15, 8]"
1000559,"[8, 16, 1]"
1000560,"[1, 2, 8]"
1000561,"[1, 11, 6]"
1000562,"[1, 16, 6]"
1000563,"[1, 3, 15]"
1000564,"[8, 1, 15]"
1000565,"[1, 8, 6]"
1000566,"[1, 5, 3]"
1000567,"[1, 2, 11]"
1000568,"[1, 8, 6]"
1000569,"[5, 1, 2]"
1000570,"[8, 1, 3]"
1000571,"[1, 2, 6]"
1000572,"[1, 8, 5]"
1000573,"[1, 8, 6]"
1000574,"[6, 8, 5]"
1000575,"[1, 5, 8]"
1000576,"[1, 8, 2]"
1000577,"[1, 5, 6]"
1000578,"[6, 1, 5]"
1000579,"[1, 5, 8]"
1000580,"[1, 2, 8]"
1000581,"[5, 1, 8]"
1000582,"[5, 1, 16]"
1000583,"[1, 8, 5]"
1000584,"[1, 8, 6]"
1000585,"[1, 3, 5]"
1000586,"[1, 3, 2]"
1000587,"[5, 8, 6]"
1000588,"[8, 5, 1]"
1000589,"[5, 1, 3]"
1000590,"[8, 5, 6]"
1000591,"[8, 1, 5]"
1000592,"[1, 6, 2]"
1000593,"[8, 5, 6]"
1000594,"[5, 8, 1]"
1000595,"[1, 5, 8]"
1000596,"[1, 8, 3]"
1000597,"[5, 8, 1]"
1000598,"[1, 5, 8]"
1000599,"[8, 6, 5]"
1000600,"[5, 8, 2]"
1000601,"[1, 5, 8]"
1000602,"[1, 15, 2]"
1000603,"[1, 5, 8]"
1000604,"[1, 5, 15]"
1000605,"[1, 8, 2]"
1000606,"[5, 1, 3]"
1000607,"[8, 1, 6]"
1000608,"[1, 5, 8]"
1000609,"[1, 2, 8]"
1000610,"[1, 8, 5]"
1000611,"[1, 8, 5]"
1000612,"[1, 8, 5]"
1000613,"[8, 1, 5]"
1000615,"[1, 5, 8]"
1000616,"[1, 3, 8]"
1000617,"[8, 1, 5]"
1000618,"[1, 5, 8]"
1000619,"[5, 1, 8]"
1000620,"[5, 1, 6]"
1000622,"[8, 6, 5]"
1000623,"[1, 5, 3]"
1000624,"[1, 8, 5]"
1000625,"[8, 5, 6]"
1000626,"[1, 3, 6]"
1000627,"[2, 1, 5]"
1000628,"[5, 2, 3]"
1000629,"[2, 3, 1]"
1000630,"[5, 8, 1]"
1000631,"[1, 5, 8]"
1000632,"[1, 2, 5]"
1000633,"[1, 8, 5]"
1000634,"[3, 2, 1]"
1000635,"[8, 5, 6]"
1000636,"[1, 11, 5]"
1000637,"[1, 8, 3]"
1000638,"[1, 5, 2]"
1000639,"[1, 8, 2]"
1000640,"[8, 16, 6]"
1000641,"[5, 1, 8]"
1000642,"[8, 1, 16]"
1000643,"[5, 8, 1]"
1000644,"[1, 5, 8]"
1000645,"[5, 1, 6]"
1000646,"[1, 8, 5]"
1000647,"[1, 5, 7]"
1000648,"[5, 1, 8]"
1000649,"[1, 15, 8]"
1000650,"[1, 2, 5]"
1000651,"[1, 5, 2]"
1000652,"[1, 6, 16]"
1000653,"[8, 5, 1]"
1000654,"[1, 8, 5]"
1000655,"[5, 8, 1]"
1000656,"[8, 5, 1]"
1000657,"[8, 5, 3]"
1000658,"[5, 1, 8]"
1000659,"[8, 1, 5]"
1000661,"[1, 8, 11]"
1000662,"[1, 3, 2]"
1000663,"[1, 11, 5]"
1000664,"[1, 5, 8]"
1000665,"[1, 11, 5]"
1000666,"[8, 5, 1]"
1000667,"[1, 11, 5]"
1000668,"[1, 16, 6]"
1000669,"[1, 5, 6]"
1000670,"[8, 6, 5]"
1000671,"[1, 8, 5]"
1000672,"[1, 8, 10]"
1000673,"[8, 5, 1]"
1000674,"[1, 6, 5]"
1000675,"[8, 5, 1]"
1000676,"[1, 5, 8]"
1000677,"[8, 5, 1]"
1000678,"[1, 8, 5]"
1000679,"[1, 8, 5]"
1000680,"[1, 5, 8]"
1000681,"[3, 2, 1]"
1000682,"[1, 8, 5]"
1000683,"[1, 5, 8]"
1000685,"[1, 5, 8]"
1000686,"[1, 5, 8]"
1000687,"[1, 5, 8]"
1000688,"[8, 1, 17]"
1000689,"[1, 5, 8]"
1000690,"[1, 5, 8]"
1000691,"[5, 1, 8]"
1000692,"[1, 8, 5]"
1000693,"[1, 5, 8]"
1000694,"[5, 8, 1]"
1000695,"[1, 5, 8]"
1000697,"[5, 1, 8]"
1000698,"[1, 5, 8]"
1000700,"[10, 1, 8]"
1000701,"[5, 1, 8]"
1000702,"[5, 1, 8]"
1000703,"[1, 5, 2]"
1000704,"[1, 8, 5]"
1000705,"[1, 3, 11]"
1000706,"[8, 5, 1]"
1000707,"[1, 16, 8]"
1000708,"[1, 6, 2]"
1000709,"[5, 11, 1]"
1000710,"[1, 5, 8]"
1000711,"[1, 5, 8]"
1000712,"[1, 3, 5]"
1000713,"[1, 8, 5]"
1000714,"[1, 5, 3]"
1000715,"[1, 3, 5]"
1000717,"[1, 8, 3]"
1000718,"[1, 8, 5]"
1000719,"[1, 5, 8]"
1000720,"[1, 8, 2]"
1000721,"[1, 8, 5]"
1000722,"[8, 1, 3]"
1000723,"[5, 1, 6]"
1000724,"[1, 8, 5]"
1000725,"[8, 6, 5]"
1000726,"[5, 8, 1]"
1000727,"[5, 8, 1]"
1000728,"[8, 1, 5]"
1000729,"[1, 6, 8]"
1000730,"[1, 5, 8]"
1000731,"[5, 1, 8]"
1000732,"[1, 6, 5]"
1000733,"[5, 1, 3]"
1000734,"[1, 5, 8]"
1000735,"[1, 5, 8]"
1000736,"[1, 5, 8]"
1000737,"[8, 1, 6]"
1000738,"[1, 8, 15]"
1000739,"[1, 5, 8]"
1000740,"[1, 5, 8]"
1000741,"[11, 1, 5]"
1000742,"[1, 8, 9]"
1000743,"[5, 8, 3]"
1000744,"[1, 5, 2]"
1000745,"[1, 5, 15]"
1000746,"[1, 8, 6]"
1000747,"[1, 5, 15]"
1000748,"[1, 2, 8]"
1000749,"[1, 5, 8]"
1000750,"[8, 6, 5]"
1000751,"[1, 5, 2]"
1000752,"[8, 1, 5]"
1000753,"[1, 5, 2]"
1000754,"[1, 8, 6]"
1000755,"[1, 8, 5]"
1000756,"[1, 6, 5]"
1000757,"[1, 5, 8]"
1000758,"[8, 1, 5]"
1000759,"[5, 8, 1]"
1000760,"[8, 1, 2]"
1000761,"[1, 5, 2]"
1000762,"[1, 5, 15]"
1000763,"[1, 5, 8]"
1000764,"[1, 3, 2]"
1000765,"[1, 5, 2]"
1000766,"[5, 1, 13]"
1000767,"[1, 8, 16]"
1000768,"[1, 8, 6]"
1000769,"[8, 1, 10]"
1000770,"[1, 5, 8]"
1000771,"[5, 1, 10]"
1000772,"[1, 5, 8]"
1000773,"[1, 8, 5]"
1000774,"[1, 6, 5]"
1000775,"[1, 5, 8]"
1000776,"[5, 1, 8]"
1000777,"[1, 5, 8]"
1000778,"[1, 8, 5]"
1000779,"[1, 5, 16]"
1000780,"[1, 5, 3]"
1000782,"[1, 8, 7]"
1000783,"[1, 3, 2]"
1000784,"[8, 5, 6]"
1000785,"[1, 8, 5]"
1000786,"[1, 2, 5]"
1000787,"[8, 1, 5]"
1000788,"[1, 2, 5]"
1000789,"[1, 5, 16]"
1000790,"[1, 5, 19]"
1000791,"[1, 5, 2]"
1000792,"[1, 5, 8]"
1000793,"[1, 8, 6]"
1000794,"[5, 1, 19]"
1000795,"[5, 8, 6]"
1000796,"[1, 5, 8]"
1000797,"[5, 8, 1]"
1000798,"[1, 5, 2]"
1000799,"[1, 5, 2]"
1000801,"[8, 5, 1]"
1000802,"[1, 5, 8]"
1000803,"[1, 2, 5]"
1000804,"[5, 1, 7]"
1000805,"[5, 1, 8]"
1000806,"[7, 1, 2]"
1000807,"[3, 1, 8]"
1000808,"[1, 11, 5]"
1000809,"[5, 1, 8]"
1000810,"[1, 8, 5]"
1000811,"[8, 1, 2]"
1000812,"[1, 5, 16]"
1000813,"[5, 3, 1]"
1000814,"[1, 2, 5]"
1000816,"[1, 5, 8]"
1000817,"[1, 5, 6]"
1000818,"[1, 8, 6]"
1000819,"[1, 7, 6]"
1000820,"[1, 15, 8]"
1000821,"[8, 7, 5]"
1000822,"[5, 8, 3]"
1000823,"[5, 6, 7]"
1000824,"[8, 1, 5]"
1000825,"[8, 5, 10]"
1000826,"[7, 8, 5]"
1000827,"[1, 8, 10]"
1000828,"[5, 8, 1]"
1000829,"[6, 8, 10]"
1000830,"[1, 8, 5]"
1000831,"[6, 8, 1]"
1000832,"[5, 1, 3]"
1000833,"[16, 1, 8]"
1000834,"[1, 8, 5]"
1000835,"[15, 6, 1]"
1000836,"[3, 5, 8]"
1000837,"[1, 6, 10]"
1000838,"[8, 1, 7]"
1000839,"[1, 8, 5]"
1000840,"[5, 8, 1]"
1000841,"[1, 5, 8]"
1000842,"[8, 5, 1]"
1000843,"[5, 1, 8]"
1000844,"[1, 8, 7]"
1000845,"[8, 1, 5]"
1000846,"[1, 5, 8]"
1000847,"[5, 2, 20]"
1000848,"[1, 8, 5]"
1000849,"[5, 1, 2]"
1000850,"[8, 1, 5]"
1000851,"[1, 15, 2]"
1000852,"[5, 1, 3]"
1000853,"[1, 2, 5]"
1000854,"[1, 8, 5]"
1000855,"[5, 8, 1]"
1000856,"[8, 6, 5]"
1000857,"[8, 5, 1]"
1000858,"[1, 5, 11]"
1000859,"[1, 11, 8]"
1000860,"[11, 1, 5]"
1000861,"[5, 1, 2]"
1000862,"[5, 8, 6]"
1000863,"[1, 7, 5]"
1000864,"[8, 5, 7]"
1000865,"[1, 5, 8]"
1000866,"[1, 3, 5]"
1000867,"[1, 8, 3]"
1000868,"[11, 1, 5]"
1000869,"[1, 5, 3]"
1000870,"[5, 8, 2]"
1000871,"[1, 5, 16]"
1000872,"[1, 5, 2]"
1000873,"[8, 1, 5]"
1000874,"[1, 11, 8]"
1000875,"[1, 5, 8]"
1000876,"[1, 6, 8]"
1000877,"[1, 5, 8]"
1000878,"[1, 2, 5]"
1000879,"[5, 1, 8]"
1000880,"[1, 6, 3]"
1000881,"[1, 5, 8]"
1000882,"[1, 15, 5]"
1000883,"[1, 5, 8]"
1000884,"[1, 8, 11]"
1000885,"[1, 8, 5]"
1000886,"[8, 5, 1]"
1000887,"[1, 8, 5]"
1000888,"[1, 5, 3]"
1000889,"[8, 1, 5]"
1000890,"[1, 3, 5]"
1000891,"[1, 8, 5]"
1000892,"[1, 5, 8]"
1000894,"[1, 6, 8]"
1000895,"[5, 8, 2]"
1000896,"[5, 1, 8]"
1000897,"[1, 8, 5]"
1000898,"[1, 8, 5]"
1000899,"[5, 8, 1]"
